governorate,total_facilities,energized_facilities,percent_energized
Abyan,40,24,60.0
Ad Dali,35,26,74.28571428571429
Aden,15,10,66.66666666666667
Al Bayda,19,14,73.6842105263158
Al Hodeidah,49,26,53.06122448979592
Al Jawf,19,13,68.42105263157895
Al Maharah,23,18,78.26086956521739
Al Mahwit,36,23,63.888888888888886
Amanat Al Asimah,4,2,50.0
Amran,31,22,70.96774193548387
Dhamar,41,29,70.73170731707317
Hadramawt,44,39,88.63636363636364
Hajjah,49,36,73.46938775510205
IBB,2,1,50.0
Ibb,37,28,75.67567567567568
Lahj,55,31,56.36363636363637
Ma'rib,26,13,50.0
Raymah,10,10,100.0
Sa'dah,17,13,76.47058823529412
Sana'a,33,21,63.63636363636363
Shabwah,41,32,78.04878048780488
Socotra,17,0,0.0
Taiz,68,45,66.17647058823529
