facility_id,latitude,longitude,type,status,governorate
HAD-SCH-01,15.546326,49.347984,School,Energized,Hadramawt
HAD-SCH-02,15.32405,48.320344,School,Energized,Hadramawt
HAD-SCH-03,14.765667,49.372728,School,Energized,Hadramawt
HAD-SCH-04,14.942097,50.34198,School,Energized,Hadramawt
HAD-HF-01,15.037327,50.478479,Clinic,Energized,Hadramawt
HAD-HF-02,14.939981,50.337068,Clinic,Energized,Hadramawt
HAD-SCH-05,16.049705,48.975952,School,Energized,Hadramawt
HAD-SCH-06,15.84246,48.481705,School,Energized,Hadramawt
HAD-SCH-07,15.955961,48.677001,School,Energized,Hadramawt
HAD-SCH-08,15.42023,48.056131,School,Energized,Hadramawt
HAD-HF-03,15.405247,47.764976,Clinic,Energized,Hadramawt
HAD-HF-04,15.31756,47.990719,Clinic,Energized,Hadramawt
HAD-HF-05,16.1422373,49.291223,Clinic,Energized,Hadramawt
SHA-SCH-01,14.99659,46.854483,School,Energized,Shabwah
SHA-SCH-02,14.349974,47.078423,School,Energized,Shabwah
SHA-SCH-03,14.4326,46.152874,School,Energized,Shabwah
SHA-SCH-04,14.999359,47.173228,School,Energized,Shabwah
SHA-SCH-05,14.368332,46.910948,School,Energized,Shabwah
SHA-SCH-06,14.521533,46.852196,School,Energized,Shabwah
SHA-SCH-07,14.538336,46.827681,School,Energized,Shabwah
SHA-HF-01,14.217443,47.165805,Clinic,Energized,Shabwah
SHA-HF-02,15.15487,47.402301,Clinic,Energized,Shabwah
SHA-HF-03,14.986835,45.789649,Clinic,Energized,Shabwah
SHA-HF-04,14.476546,47.273253,Clinic,Energized,Shabwah
SHA-HF-05,14.312601,46.670971,Clinic,Energized,Shabwah
SHA-HF-06,14.092906,47.725827,Clinic,Energized,Shabwah
MHR-SCH-03,15.430968,51.688211,School,Energized,Al Maharah
MHR-SCH-05,15.209743,51.252464,School,Energized,Al Maharah
MHR-SCH-04,16.229806,52.187072,School,Energized,Al Maharah
MHR-SCH-01,15.633166,52.162804,School,Energized,Al Maharah
MHR-SCH-02,15.235521,51.11021,School,Energized,Al Maharah
MHR-HF-01,15.906818,50.971675,Clinic,Energized,Al Maharah
MHR-HF-02,17.801092,52.547247,Clinic,Energized,Al Maharah
MHR-HF-03,16.455113,50.527976,Clinic,Energized,Al Maharah
LAH-HF-01,13.2395,44.38818,Clinic,Energized,Lahj
LAH-SCH-01,13.87671,45.21305,School,Energized,Lahj
LAH-SCH-02,13.77411,45.22018,School,Energized,Lahj
LAH-SCH-03,12.99506,44.91443,School,Energized,Lahj
LAH-SCH-04,13.885818,45.224311,School,Energized,Lahj
LAH-SCH-05,13.871667,45.25388,School,Energized,Lahj
ADN-SCH-01,12.88339,44.977996,School,Energized,Aden
ADN-SCH-02,12.838791,44.9564,School,Energized,Aden
ADN-SCH-03,12.836111,44.9475,School,Energized,Aden
ADN-SCH-04,12.861722,44.995667,School,Energized,Aden
ADN-SCH-05,12.873556,44.979722,School,Energized,Aden
ADN-SCH-06,12.875,45.008611,School,Energized,Aden
DAL-SCH-01,13.698889,44.731667,School,Energized,Ad Dali
DAL-SCH-02,13.7175,44.722778,School,Energized,Ad Dali
DAL-SCH-03,13.793689,44.720595,School,Energized,Ad Dali
DAL-SCH-04,13.806944,44.708611,School,Energized,Ad Dali
DAL-SCH-05,13.671832,44.71078,School,Energized,Ad Dali
TAZ-HF-01,13.32862,44.08366,Clinic,Energized,Taiz
TAZ-HF-02,13.54129,43.99725,Clinic,Energized,Taiz
TAZ-SCH-01,13.12137,43.32702,School,Energized,Taiz
TAZ-SCH-02,13.34813,44.0196,School,Energized,Taiz
ABY-SCH-01,14.132725,43.390203,School,Energized,Abyan
ABY-SCH-02,15.23685,43.238844,School,Energized,Abyan
ABY-SCH-03,15.327442,43.168225,School,Energized,Abyan
ABY-HF-01,14.684006,43.328747,Clinic,Energized,Abyan
HUD-HF-01,14.676056,43.550539,Clinic,Energized,Al Hodeidah
HUD-HF-02,14.578203,43.639961,Clinic,Energized,Al Hodeidah
HUD-HF-03,14.649647,43.691425,Clinic,Energized,Al Hodeidah
HUD-HF-04,14.010236,45.565268,Clinic,Energized,Al Hodeidah
RMH-HF-01,14.418948,44.836313,Clinic,Energized,Raymah
RMH-HF-02,13.994454,44.220831,Clinic,Energized,Raymah
RMH-HF-03,14.00724,44.291559,Clinic,Energized,Raymah
BYD-HF-01,13.998337,44.118586,Clinic,Energized,Al Bayda
BYD-HF-02,13.917101,44.409534,Clinic,Energized,Al Bayda
IBB-HF-01,14.029489,44.311045,Clinic,Energized,Ibb
IBB-HF-02,13.712747,45.302668,Clinic,Energized,Ibb
IBB-HF-03,13.927472,46.082583,Clinic,Energized,Ibb
IBB-HF-04,13.807211,45.774212,Clinic,Energized,Ibb
IBB-HF-05,13.826232,46.039108,Clinic,Energized,Ibb
DMR-HF-01,14.705611,44.272816,Clinic,Energized,Dhamar
